Person,Number of Files Requested,Page Number
"Gibbons, John Department Of Justice, U.S. Marshal Massachusetts",19,17
"Gibson, Susan S National Reconnaissance Office, Inspector General",4,17
"Gibson, Ventris Department Of The Treasury, Director of the Mint",4,17
"Gidwitz, Ronald J Department Of State, Ambassador to Belgium",4,17
"Gil, Dario Department Of Energy, Under Secretary for Science",4,17
"Gilmartin, Kayleigh White House Office, Press Secretary",3,17
"Gilmore, Gregory M Department Of Justice, U.S. Attorney Illinois Central District",1,17
"Giroir, Brett P Department Of Health And Human Services, Assistant Secretary for Health",3,17
"Giroir, Brett P Department Of State, U.S. Representative on Executive Board of World Health Organization",2,17
"Gitenstein, Mark Department Of State, U.S. Representative to European Union",11,17
"Glawe, David J Department Of Homeland Security, Under Secretary for Intelligence & Analysis",2,17
"Godec, Robert F Department Of State, Ambassador to Thailand (Kingdom of)",5,17
"Goffman, Joseph M. Environmental Protection Agency, Assistant Administrator for Air & Radiation",9,17
"Goffman, Joseph M. Environmental Protection Agency, Certificate of Divestiture",1,17
"Goldsmith-Romero, Christina L Commodity Futures Trading Commission, Commissioner",11,17
"Goldsmith-Romero, Christina L Department Of The Treasury, Special Inspector General for The Troubled Asset Relief Program",9,17
"Goldsmith-Romero, Christina L Department Of The Treasury, Special Inspector General for the Troubled Asset Relief Program",9,17
"Goldsmith-Romero, Christy L Commodity Futures Trading Commission, Commissioner",8,17
"Goldsmith-Romero, Christy L Federal Deposit Insurance Corporation, Member & Chairperson",2,17
"Gomez, Anna Federal Communications Commission, Commissioner",3,18
"Gomez, Lisa Department Of Labor, Assistant Secretary for Employee Benefits Security",7,18
"Gonzales, David P Department Of Justice, U.S. Marshal of Arizona",4,18
"Gonzales, Michael C Department Of State, Ambassador to Zambia (Republic of)",5,18
"Gonzales, Rebecca E Department Of State, Ambassador to Lesotho (Kingdom of)",4,18
"Gonzales, Rebecca E Department Of State, Director, Office of Foreign Missions",4,18
"Gor, Sergio Department Of State, Ambassador to India",1,18
"Gor, Sergio White House Office, Director of the Office of Presidential Personnel",2,18
"Gould, Benjamin Department Of Energy, Certificate of Divestiture",1,18
"Gould, Jonathan Department Of The Treasury, Comptroller of the Currency",4,18
"Graham, Gwen Department Of Education, Assistant Secretary for Legislation & Congressional Affairs",6,18
"Graham, Marcus Farm Credit Administration And Farm Credit System Insurance Corp., Member, Farm Credit Administration Board",1,18
"Graham, Michael E National Transportation Safety Board, Member",17,18
"Graham, Michael E National Transportation Safety Board, Member 2",1,18
"Graves, Donet D Department Of Commerce, Deputy Secretary",8,18
"Graves, Matthew Department Of Justice, U.S. Attorney District of Columbia",4,18
"Greenblatt, Mark Department Of The Interior, Inspector General",29,18
"Grigsby, Stacey K White House Office, Deputy Counsel to the President",4,18
